epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0467,1.7208,3.13418,1.87755,0.15359,0.22476,0.08172,0.03328,1.96365,182.586,2.38824,0.0681226,0.00132822,0.00132822
2,122.229,1.84153,2.56351,1.99686,0.25503,0.2787,0.18079,0.06652,1.89247,23.4998,2.23582,0.0361225,0.00266145,0.00266145
3,178.947,1.7349,2.42356,1.90264,0.22919,0.18918,0.10961,0.04947,2.00731,3.78739,2.34018,0.00412198,0.00399427,0.00399427
4,235.379,1.64086,2.33829,1.82586,0.40572,0.35754,0.32445,0.16746,1.63712,4.90598,1.93121,0.00399859,0.00399859,0.00399859
5,291.912,1.57579,2.15392,1.75847,0.49521,0.46405,0.46928,0.25699,1.43239,3.15611,1.73203,0.0039975,0.0039975,0.0039975
6,348.582,1.47751,2.0119,1.665,0.51832,0.47925,0.48487,0.27928,1.37988,2.25538,1.65745,0.00399609,0.00399609,0.00399609
7,404.282,1.46832,1.89215,1.63883,0.4478,0.41217,0.37966,0.19627,1.51508,3.98685,1.83486,0.00399437,0.00399437,0.00399437
8,460.105,1.36904,1.84314,1.57111,0.45189,0.45499,0.42356,0.24966,1.38471,2.41295,1.63753,0.00399234,0.00399234,0.00399234
9,515.586,1.39432,1.79801,1.59013,0.46677,0.45712,0.4302,0.24447,1.40454,2.87516,1.68291,0.00399,0.00399,0.00399
10,571.43,1.36398,1.74452,1.5528,0.56733,0.48893,0.51341,0.31033,1.28202,2.16223,1.5504,0.00398735,0.00398735,0.00398735
11,626.88,1.31543,1.66647,1.49709,0.62296,0.51304,0.55758,0.33964,1.32189,2.68405,1.59287,0.00398439,0.00398439,0.00398439
12,683.286,1.26926,1.59549,1.45829,0.63203,0.53112,0.56675,0.35883,1.21831,2.92168,1.48273,0.00398111,0.00398111,0.00398111
13,739.162,1.28759,1.56987,1.4929,0.57236,0.51648,0.52972,0.32847,1.29626,2.31699,1.53088,0.00397753,0.00397753,0.00397753
14,795.116,1.25845,1.48437,1.46011,0.60069,0.56708,0.5856,0.38033,1.19437,2.13963,1.47822,0.00397364,0.00397364,0.00397364
15,850.921,1.22489,1.43624,1.42455,0.58277,0.52835,0.5745,0.36261,1.24547,2.72922,1.50356,0.00396944,0.00396944,0.00396944
16,906.614,1.21712,1.40759,1.43318,0.59355,0.56639,0.57975,0.36821,1.23221,2.24285,1.52614,0.00396493,0.00396493,0.00396493
17,962.152,1.20155,1.38045,1.40618,0.64674,0.54772,0.59165,0.37588,1.23781,2.4208,1.49993,0.00396011,0.00396011,0.00396011
18,1018.2,1.18975,1.37216,1.40652,0.62172,0.55256,0.58244,0.35019,1.21185,5.57345,1.52846,0.00395499,0.00395499,0.00395499
